Age,Nationality,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,International Reputation,Real Face,Position,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Growth,tier
28,Colombia,22500000.0,105.0,Left,2,4,4,Yes,MF,292,72,1196,90.0,84.0,62.0,83.0,90.0,86.0,89.0,86.0,81.0,90.0,55.0,52.0,78.0,84.0,76.0,86.0,46.0,65.0,64.0,92.0,60.0,55.0,80.0,83.0,81.0,87.0,52.0,41.0,44.0,15.0,15.0,15.0,5.0,14.0,0,Others
18,England,14500000.0,33.0,Left,5,3,1,No,MF,422,49,1163,70.0,79.0,67.0,73.0,64.0,79.0,70.0,65.0,69.0,77.0,79.0,82.0,77.0,76.0,72.0,82.0,63.0,70.0,69.0,80.0,58.0,34.0,77.0,74.0,64.0,76.0,35.0,39.0,33.0,5.0,6.0,6.0,9.0,8.0,12,ManUtd
23,England,17000000.0,80.0,Right,3,3,1,Yes,ST,62,8,329,65.0,78.0,85.0,70.0,73.0,76.0,64.0,54.0,44.0,76.0,79.0,87.0,72.0,79.0,64.0,79.0,90.0,79.0,81.0,65.0,75.0,34.0,82.0,64.0,77.0,71.0,38.0,31.0,23.0,12.0,12.0,8.0,7.0,11.0,5,Others
18,Netherlands,1800000.0,14.0,Right,3,3,1,No,ST,30,3,130,59.0,57.0,41.0,61.0,51.0,72.0,60.0,61.0,47.0,66.0,94.0,89.0,91.0,63.0,74.0,65.0,37.0,68.0,39.0,59.0,36.0,17.0,61.0,60.0,59.0,58.0,20.0,24.0,26.0,9.0,9.0,15.0,11.0,10.0,15,Others
20,Italy,9000000.0,48.0,Right,3,3,1,Yes,ST,216,19,1406,42.0,76.0,72.0,59.0,72.0,78.0,66.0,43.0,38.0,76.0,77.0,79.0,74.0,73.0,78.0,74.0,75.0,65.0,73.0,60.0,45.0,21.0,78.0,51.0,65.0,69.0,27.0,28.0,16.0,13.0,8.0,10.0,7.0,9.0,9,Others
18,England,12000000.0,22.0,Left,4,3,1,Yes,MF,279,20,908,79.0,60.0,45.0,74.0,55.0,78.0,72.0,48.0,63.0,76.0,86.0,82.0,83.0,71.0,82.0,64.0,51.0,76.0,58.0,60.0,64.0,53.0,68.0,71.0,58.0,70.0,55.0,58.0,62.0,7.0,8.0,13.0,9.0,13.0,13,Others
19,England,9500000.0,40.0,Right,3,3,1,Yes,DF,148,24,463,68.0,54.0,59.0,71.0,62.0,73.0,61.0,30.0,61.0,72.0,78.0,83.0,76.0,72.0,67.0,69.0,72.0,75.0,60.0,50.0,82.0,73.0,66.0,60.0,41.0,72.0,71.0,73.0,74.0,10.0,13.0,11.0,7.0,7.0,10,ManUtd
23,Spain,27500000.0,85.0,Left,3,3,1,No,DF,103,20,300,79.0,52.0,75.0,79.0,49.0,78.0,70.0,43.0,67.0,81.0,82.0,87.0,76.0,79.0,72.0,62.0,66.0,80.0,65.0,56.0,73.0,79.0,74.0,68.0,42.0,72.0,78.0,79.0,78.0,11.0,14.0,9.0,5.0,12.0,7,Others
25,Portugal,63000000.0,195.0,Right,4,4,2,Yes,MF,270,36,822,87.0,77.0,58.0,88.0,86.0,85.0,86.0,87.0,87.0,88.0,78.0,76.0,79.0,86.0,79.0,89.0,72.0,94.0,67.0,89.0,70.0,74.0,83.0,90.0,91.0,86.0,72.0,67.0,55.0,12.0,14.0,15.0,8.0,14.0,3,ManUtd
21,Portugal,11000000.0,56.0,Right,3,3,1,Yes,DF,118,10,637,78.0,52.0,69.0,75.0,44.0,78.0,76.0,44.0,60.0,75.0,78.0,79.0,73.0,75.0,72.0,78.0,84.0,74.0,74.0,64.0,80.0,75.0,70.0,68.0,43.0,75.0,69.0,72.0,68.0,10.0,6.0,10.0,6.0,8.0,9,ManUtd
