,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,Position
4,198710,James Rodríguez,28,Colombia,82,82,Everton,22500000.0,105000.0,Left,Midfielder
10,246147,Mason Greenwood,18,England,77,89,Manchester United,14500000.0,33000.0,Left,Midfielder
12,221479,Dominic Calvert-Lewin,23,England,79,84,Everton,17000000.0,80000.0,Right,Striker
22,251954,Crysencio Summerville,18,Netherlands,68,83,Leeds United,1800000.0,14000.0,Right,Striker
25,236610,Moise Kean,20,Italy,74,83,Everton,9000000.0,48000.0,Right,Striker
30,246669,Bukayo Saka,18,England,75,88,Arsenal,12000000.0,22000.0,Left,Midfielder
36,243414,Brandon Williams,19,England,75,85,Manchester United,9500000.0,40000.0,Right,Defender
38,245279,Sergio Reguilón Rodríguez,23,Spain,82,89,Tottenham Hotspur,27500000.0,85000.0,Left,Defender
40,212198,Bruno Miguel Borges Fernandes,25,Portugal,87,90,Manchester United,63000000.0,195000.0,Right,Midfielder
42,234574,José Diogo Dalot Teixeira,21,Portugal,76,85,Manchester United,11000000.0,56000.0,Right,Defender
44,216388,Allan Saint-Maximin,23,France,80,86,Newcastle United,20500000.0,43000.0,Right,Midfielder
45,235790,Kai Havertz,21,Germany,85,93,Chelsea,57000000.0,105000.0,Left,Midfielder
53,242418,Tariq Lamptey,19,England,66,83,Brighton & Hove Albion,1300000.0,7000.0,Right,Defender
54,231677,Marcus Rashford,22,England,85,91,Manchester United,53000000.0,150000.0,Right,Midfielder
56,224081,Kalvin Phillips,24,England,76,82,Leeds United,9500000.0,64000.0,Right,Midfielder
60,245037,Eric García Martret,19,Spain,72,85,Manchester City,5500000.0,32000.0,Right,Defender
64,239818,Rúben Santos Gato Alves Dias,23,Portugal,81,87,Manchester City,22000000.0,105000.0,Right,Defender
65,251566,Gabriel Teodoro Martinelli Silva,19,Brazil,74,85,Arsenal,9500000.0,38000.0,Right,Striker
68,243715,William Saliba,19,France,74,87,Arsenal,10000000.0,28000.0,Right,Defender
79,240740,Callum Hudson-Odoi,19,England,74,86,Chelsea,10000000.0,41000.0,Right,Striker
84,241461,Ferran Torres García,20,Spain,81,89,Manchester City,26500000.0,97000.0,Right,Midfielder
91,225953,Steven Bergwijn,22,Netherlands,83,88,Tottenham Hotspur,34500000.0,105000.0,Right,Midfielder
92,236532,Robin Koch,23,Germany,76,84,Leeds United,10500000.0,64000.0,Right,Defender
